fold,island,actual,predicted,error,abs_error,epochs_run
1,고흥신흥,452.0,813.3790893554688,361.37908935546875,361.37908935546875,94
2,고흥염포,435.0,718.445556640625,283.445556640625,283.445556640625,103
3,해남송평,327.0,139.27310180664062,-187.72689819335938,187.72689819335938,85
4,해남묵동리,221.0,137.18646240234375,-83.81353759765625,83.81353759765625,101
5,해남예락,292.0,64.85531616210938,-227.14468383789062,227.14468383789062,128
6,완도평일도,806.0,1969.009521484375,1163.009521484375,1163.009521484375,69
7,완도신지도,743.0,1566.8773193359375,823.8773193359375,823.8773193359375,105
8,진도하조도,309.0,472.98101806640625,163.98101806640625,163.98101806640625,60
9,신안압해도,1157.0,632.6229248046875,-524.3770751953125,524.3770751953125,142
10,신안임자도,119.0,630.001708984375,511.001708984375,511.001708984375,70
11,고성하일,1710.0,1408.055908203125,-301.944091796875,301.944091796875,89
12,남해유구,188.0,321.22998046875,133.22998046875,133.22998046875,114
13,여수반월,246.0,255.57827758789062,9.578277587890625,9.578277587890625,74
14,여수안도,11420.0,11328.853515625,-91.146484375,91.146484375,120
15,여수백야도,525.0,581.7883911132812,56.78839111328125,56.78839111328125,74
16,여수거문도,4207.0,3477.43505859375,-729.56494140625,729.56494140625,102
17,부산해양대,800.0,1319.33935546875,519.33935546875,519.33935546875,121
18,통영망일봉,1215.0,1732.233642578125,517.233642578125,517.233642578125,117
19,마산봉암,965.0,2199.786376953125,1234.786376953125,1234.786376953125,54
20,거제두모,3746.0,1840.414306640625,-1905.585693359375,1905.585693359375,75
21,완도보길도,1693.0,1348.41650390625,-344.58349609375,344.58349609375,92
22,부산가덕도,3383.0,4420.32958984375,1037.32958984375,1037.32958984375,127
23,통영욕지도,2563.0,1900.991455078125,-662.008544921875,662.008544921875,119
