공간정보일련번호(gid),격자번호(grid_no)
1825,GR2_G1M11
1826,GR2_G1M12
1827,GR2_G1M21
1828,GR2_G1M22
1829,GR2_G1N11
1830,GR2_G1N12
1831,GR2_G1N21
1832,GR2_G1N22
1833,GR2_G1O11
1834,GR2_G1O12
1835,GR2_G1O21
1836,GR2_G1O22
1837,GR2_G1P11
1838,GR2_G1P12
1839,GR2_G1P21
1840,GR2_G1P22
1841,GR2_G2M11
1842,GR2_G2M12
1843,GR2_G2M21
1844,GR2_G2M22
1872,GR2_F1P24
1873,GR2_F2M13
1874,GR2_F2M14
1875,GR2_F2M23
1876,GR2_F2M24
1877,GR2_F2N13
1878,GR2_F2N14
1879,GR2_F2N23
1880,GR2_F2N24
1881,GR2_F2O13
1882,GR2_F2O14
1883,GR2_F2O23
1884,GR2_F2O24
1885,GR2_F2P13
1886,GR2_F2P14
1887,GR2_F2P23
1888,GR2_F2P24
1889,GR2_G1M13
1890,GR2_G1M14
1891,GR2_G1M23
1892,GR2_G1M24
1893,GR2_G1N13
1894,GR2_G1N14
1895,GR2_G1N23
1896,GR2_G1N24
1897,GR2_G1O13
1898,GR2_G1O14
1899,GR2_G1O23
1900,GR2_G1O24
1901,GR2_G1P13
1902,GR2_G1P14
1903,GR2_G1P23
1904,GR2_G1P24
1905,GR2_G2M13
1906,GR2_G2M14
1907,GR2_G2M23
1936,GR2_F1P42
1937,GR2_F2M31
1938,GR2_F2M32
1939,GR2_F2M41
1940,GR2_F2M42
1941,GR2_F2N31
1942,GR2_F2N32
1943,GR2_F2N41
1944,GR2_F2N42
1945,GR2_F2O31
1946,GR2_F2O32
1947,GR2_F2O41
1948,GR2_F2O42
1949,GR2_F2P31
1950,GR2_F2P32
1951,GR2_F2P41
1952,GR2_F2P42
1953,GR2_G1M31
1954,GR2_G1M32
1955,GR2_G1M41
1956,GR2_G1M42
1957,GR2_G1N31
1958,GR2_G1N32
1959,GR2_G1N41
1960,GR2_G1N42
1961,GR2_G1O31
1962,GR2_G1O32
1963,GR2_G1O41
1964,GR2_G1O42
1965,GR2_G1P31
1966,GR2_G1P32
1967,GR2_G1P41
1968,GR2_G1P42
1969,GR2_G2M31
2000,GR2_F1P44
2001,GR2_F2M33
2002,GR2_F2M34
2003,GR2_F2M43
2004,GR2_F2M44
2005,GR2_F2N33
2006,GR2_F2N34
2007,GR2_F2N43
2008,GR2_F2N44
2009,GR2_F2O33
2010,GR2_F2O34
2011,GR2_F2O43
2012,GR2_F2O44
2013,GR2_F2P33
2014,GR2_F2P34
2015,GR2_F2P43
2016,GR2_F2P44
2017,GR2_G1M33
2018,GR2_G1M34
2019,GR2_G1M43
2020,GR2_G1M44
2021,GR2_G1N33
2022,GR2_G1N34
2023,GR2_G1N43
2024,GR2_G1N44
2025,GR2_G1O33
2026,GR2_G1O34
2027,GR2_G1O43
2028,GR2_G1O44
2029,GR2_G1P33
2030,GR2_G1P34
2031,GR2_G1P43
2064,GR2_F3D22
2065,GR2_F4A11
2066,GR2_F4A12
2067,GR2_F4A21
2068,GR2_F4A22
2069,GR2_F4B11
2070,GR2_F4B12
2071,GR2_F4B21
2072,GR2_F4B22
2073,GR2_F4C11
2074,GR2_F4C12
2075,GR2_F4C21
2076,GR2_F4C22
2077,GR2_F4D11
2078,GR2_F4D12
2079,GR2_F4D21
2080,GR2_F4D22
2081,GR2_G3A11
2082,GR2_G3A12
2083,GR2_G3A21
2084,GR2_G3A22
2085,GR2_G3B11
2086,GR2_G3B12
2087,GR2_G3B21
2088,GR2_G3B22
2089,GR2_G3C11
2090,GR2_G3C12
2091,GR2_G3C21
2092,GR2_G3C22
2093,GR2_G3D11
2126,GR2_F3D14
2127,GR2_F3D23
2128,GR2_F3D24
2129,GR2_F4A13
2130,GR2_F4A14
2131,GR2_F4A23
2132,GR2_F4A24
2133,GR2_F4B13
2134,GR2_F4B14
2135,GR2_F4B23
2136,GR2_F4B24
2137,GR2_F4C13
2138,GR2_F4C14
2139,GR2_F4C23
2140,GR2_F4C24
2141,GR2_F4D13
2142,GR2_F4D14
2143,GR2_F4D23
2144,GR2_F4D24
2145,GR2_G3A13
2146,GR2_G3A14
2147,GR2_G3A23
2148,GR2_G3A24
2149,GR2_G3B13
2150,GR2_G3B14
2151,GR2_G3B23
2152,GR2_G3B24
2153,GR2_G3C13
2154,GR2_G3C14
2155,GR2_G3C23
2156,GR2_G3C24
2189,GR2_F3D31
2190,GR2_F3D32
2191,GR2_F3D41
2192,GR2_F3D42
2193,GR2_F4A31
2194,GR2_F4A32
2195,GR2_F4A41
2196,GR2_F4A42
2197,GR2_F4B31
2198,GR2_F4B32
2199,GR2_F4B41
2200,GR2_F4B42
2201,GR2_F4C31
2202,GR2_F4C32
2203,GR2_F4C41
2204,GR2_F4C42
2205,GR2_F4D31
2206,GR2_F4D32
2207,GR2_F4D41
2208,GR2_F4D42
2209,GR2_G3A31
2210,GR2_G3A32
2211,GR2_G3A41
2212,GR2_G3A42
2213,GR2_G3B31
2214,GR2_G3B32
2215,GR2_G3B41
2216,GR2_G3B42
2217,GR2_G3C31
2218,GR2_G3C32
2219,GR2_G3C41
2253,GR2_F3D33
2254,GR2_F3D34
2255,GR2_F3D43
2256,GR2_F3D44
2257,GR2_F4A33
2258,GR2_F4A34
2259,GR2_F4A43
2260,GR2_F4A44
2261,GR2_F4B33
2262,GR2_F4B34
2263,GR2_F4B43
2264,GR2_F4B44
2265,GR2_F4C33
2266,GR2_F4C34
2267,GR2_F4C43
2268,GR2_F4C44
2269,GR2_F4D33
2270,GR2_F4D34
2271,GR2_F4D43
2272,GR2_F4D44
2273,GR2_G3A33
2274,GR2_G3A34
2275,GR2_G3A43
2276,GR2_G3A44
2277,GR2_G3B33
2278,GR2_G3B34
2279,GR2_G3B43
2280,GR2_G3B44
2281,GR2_G3C33
2282,GR2_G3C34
2316,GR2_F3G22
2317,GR2_F3H11
2318,GR2_F3H12
2319,GR2_F3H21
2320,GR2_F3H22
2321,GR2_F4E11
2322,GR2_F4E12
2323,GR2_F4E21
