time,lat,lon,u_current_ms,v_current_ms
2026-04-01 00:00:00,34.16667,126.0,0.074070804,-0.15621561
2026-04-01 00:00:00,34.16667,126.08334,0.074254446,-0.12469277
2026-04-01 00:00:00,34.16667,126.16669,0.071091935,-0.055685773
2026-04-01 00:00:00,34.16667,126.25,0.050644577,-0.032762602
2026-04-01 00:00:00,34.16667,126.33334,0.087375544,-0.050529927
2026-04-01 00:00:00,34.16667,126.41669,0.090387404,-0.072379544
2026-04-01 00:00:00,34.16667,126.5,0.04543488,-0.020637047
2026-04-01 00:00:00,34.16667,126.83334,0.023733394,0.06474681
2026-04-01 00:00:00,34.16667,126.91669,0.016216906,0.02297511
2026-04-01 00:00:00,34.16667,127.0,0.00089376216,0.04097173
2026-04-01 00:00:00,34.16667,127.08334,0.009286984,0.048420615
2026-04-01 00:00:00,34.16667,127.16669,-0.00705569,0.04162205
2026-04-01 00:00:00,34.16667,127.25,-0.036801107,0.012676602
2026-04-01 00:00:00,34.16667,127.33334,-0.045654774,-0.00861934
2026-04-01 00:00:00,34.16667,127.41669,-0.05272124,-1.4318794e-05
2026-04-01 00:00:00,34.16667,127.5,-0.077207945,0.003076457
2026-04-01 00:00:00,34.16667,127.58334,-0.097477406,-0.0050401227
2026-04-01 00:00:00,34.16667,127.66669,-0.1258233,0.00894306
2026-04-01 00:00:00,34.16667,127.75,-0.15132023,0.03514397
2026-04-01 00:00:00,34.16667,127.83334,-0.1564587,0.05213749
2026-04-01 00:00:00,34.16667,127.91669,-0.15647356,0.048183918
2026-04-01 00:00:00,34.16667,128.0,-0.18497935,0.04486322
2026-04-01 00:00:00,34.16667,128.08334,-0.23614661,0.047252174
2026-04-01 00:00:00,34.16667,128.16669,-0.25627297,0.037761677
2026-04-01 00:00:00,34.16667,128.25,-0.21656485,0.0099255275
2026-04-01 00:00:00,34.16667,128.33334,-0.15357174,-0.041615542
2026-04-01 00:00:00,34.16667,128.41669,-0.10983534,-0.072777115
2026-04-01 00:00:00,34.16667,128.5,-0.08750902,-0.06957562
2026-04-01 00:00:00,34.16667,128.58334,-0.08098864,-0.038331576
2026-04-01 00:00:00,34.16667,128.66669,-0.092647925,0.0032866327
2026-04-01 00:00:00,34.16667,128.75,-0.09818045,0.06211456
2026-04-01 00:00:00,34.16667,128.83334,-0.08909016,0.11915569
2026-04-01 00:00:00,34.16667,128.91669,-0.041702125,0.1553556
2026-04-01 00:00:00,34.16667,129.0,0.012287604,0.18596895
2026-04-01 00:00:00,34.16667,129.08334,0.096542455,0.052442804
2026-04-01 00:00:00,34.25,125.91669,0.08005883,-0.19892755
2026-04-01 00:00:00,34.25,126.0,0.00087010115,-0.19936827
2026-04-01 00:00:00,34.25,126.08334,-0.0020594804,-0.19535658
