번호,관련번호,상위번호,도서명,자료출처,지명유래,X좌표,Y좌표,유무인도,연육도현황,기타,도형정보
772,한자5,4.68E+18,준도,수치,섬이 물이 만조때 안 ,149637.35,215416.75,0,,,POINT (149637.35315340816 215416.74710122304)
773,한자6,4.68E+18,외도,현지,육지에서 왼딴  바깥쪽,148650.25,214477.17,0,,,POINT (148650.25132879394 214477.17005484732)
774,외입1,4.68E+18,입도,수치,거인같은 입석이 솟아,146623.83,216954.28,0,,,POINT (146623.8282191103 216954.27975268033)
775,부곡1,4.68E+18,대묘도,고시,대섬으로 호암산인데 ,143443.51,217201.07,0,,,POINT (143443.50873585715 217201.06649020582)
776,부곡2,4.68E+18,소요도,고시,작은섬으로 호암산인,143731.37,217300.29,0,,,POINT (143731.36578152713 217300.29280320206)
777,옥동1,4.68E+18,송도,고시,소나무가 많아 송도로,140842.08,217569.82,0,,,POINT (140842.08242772488 217569.81539241126)
778,옥동2,4.68E+18,석도,고시,추도와 송도사이의 돌,141078.11,217921.52,0,,,POINT (141078.113366874 217921.52156152076)
779,옥동3,4.68E+18,소맥도,수치,소나무가 많아  예로부,141295.45,217755.76,0,,,POINT (141295.446369612 217755.75742906117)
780,옥동4,4.68E+18,추도,고시,섬이 배를 따라 오라는,141963.72,217835.34,0,,,POINT (141963.72153029576 217835.3359657515)
781,학동1,4.68E+18,녹도,고시,,138207.92,219010.04,0,,,POINT (138207.91598174546 219010.0367673337)
782,학동2,4.68E+18,현도,고시,,137415.51,218805.76,0,,,POINT (137415.50722136808 218805.76229926565)
783,선두1,4.68E+18,양도,고시,,135977.76,221500.82,0,,,POINT (135977.76223062325 221500.82450166065)
784,예락1,4.68E+18,임하도,고시,,132897.8,224364.59,1,연도교,,POINT (132897.80045281723 224364.58657708793)
785,예락2,4.68E+18,동섬,수치,,132105.22,224142.01,0,,,POINT (132105.22300289373 224142.00523903273)
786,예락3,4.68E+18,독섬,현지,,133308.41,224113.46,0,,,POINT (133308.4134598788 224113.45654687664)
787,예락4,4.68E+18,큰돔여,현지,,133839.28,223043.51,0,,,POINT (133839.2797673468 223043.51287862222)
788,예락5,4.68E+18,작은돔여,현지,,133898.93,223035.47,0,,,POINT (133898.93053299602 223035.46572570293)
789,예락6,4.68E+18,목도,수치,,133592.74,222592.69,0,,,POINT (133592.74022986268 222592.68618315016)
790,석교1,4.68E+18,죽도,고시,,142089.97,225558.63,0,,,POINT (142089.9726932156 225558.63243149628)
