번호,관련번호,상위번호,도서명,자료출처,지명유래,X좌표,Y좌표,유무인도,연육도현황,기타,도형정보
1,오도6,4.69E+18,목섬-5,고시,,108733.09,303338.54,0,,신규등록,POINT (108733.09342591256 303338.54123363376)
2,재원12,4.69E+18,소사삼도,수치,,101009.77,275981.22,0,,,POINT (101009.77233464988 275981.2160706469)
3,석만6,4.69E+18,"소바위-2, 우각서-1 (왕",고시현지행정,,121097.14,308686.98,0,,신규등록,POINT (121097.13798834546 308686.9764805552)
4,석만8,4.69E+18,웃만재,현지,,120970.93,309395.27,0,,신규등록,POINT (120970.92898052697 309395.2700255497)
5,석만9,4.69E+18,아랫만재,현지,,121163.83,309112.17,0,,신규등록,POINT (121163.83164368555 309112.17458516196)
6,전남-무안-1,4.68E+18,갓섬,고시,섬 중에 제일 바깥쪽에,145443.48,251156.48,0,,,POINT (145443.4798415954 251156.4749667897)
7,전남-무안-4,4.68E+18,우도,고시,섬 모양이 소가 누워 ,143936.48,251837.45,0,,,POINT (143936.4794256133 251837.4502412189)
8,달동1,4.61E+18,달리도,고시,,137292.65,242043.42,1,,,POINT (137292.65224502326 242043.4180021895)
9,달동2,4.61E+18,고하도,고시,,142132.63,241430.49,1,,,POINT (142132.6321922051 241430.48744345555)
10,달동3,4.61E+18,외달도,고시,,135645.65,242874.39,1,,,POINT (135645.6506726481 242874.39070203103)
11,군내5,4.61E+18,돌산도,고시,,270002.14,227731.37,1,연륙교,,POINT (270002.14026976144 227731.36959785502)
12,봉전1,4.61E+18,단도,고시,경치가 좋아서 관광객,248009.99,245788.96,0,,,POINT (248009.98698292556 245788.9560905501)
13,이천3,4.61E+18,우도,수치,,252548.07,238472.06,0,,,POINT (252548.07032925868 238472.0602584149)
14,안포7,4.61E+18,오란도,고시,까막섬이 돌산읍에 있,259709.22,225703.23,0,,,POINT (259709.2204204637 225703.22926856123)
15,우학1,4.61E+18,오동도,고시,이 섬은 물위에 높이 ,272161.34,213196.47,0,,,POINT (272161.34243912867 213196.4719023821)
16,우학2,4.61E+18,금오도,고시,이 섬에는 신선대와 옥,269079.34,214092.42,1,,,POINT (269079.3440332161 214092.4226631091)
17,심장6,4.61E+18,소부도,고시,이 섬의 모양이 작은 ,272561.39,210121.49,0,,,POINT (272561.38537919347 210121.49242920202)
18,심장7,4.61E+18,구몽바위(소구몽암),행정,여수시 관내 행정지도,270295.41,208877.47,0,,,POINT (270295.4141662583 208877.46536551678)
19,심장8,4.61E+18,구몽바위(대구몽암),행정,여수시 관내 행정지도,270392.41,208882.47,0,,,POINT (270392.4136362985 208882.46675261197)
20,유송3,4.61E+18,가리여,수치,,270648.29,217029.43,0,,,POINT (270648.29371207184 217029.4313609401)
21,연도5,4.61E+18,알마도,고시,섬의 모양이 망아지처,272029.44,206637.5,0,,,POINT (272029.43859577004 206637.50123055786)
22,연도9,4.61E+18,작도,고시,이 섬의 빛은 희고 또 ,283112.45,202668.68,0,,,POINT (283112.44515616517 202668.68144326354)
23,연도10,4.61E+18,작은간여,고시,연도 동남쪽에 있는 2,278622.67,188515.68,0,,,POINT (278622.67144445964 188515.680899008)
24,연도11,4.61E+18,간여,고시,이 섬은 연도리에서 상,278648.67,188468.68,0,,,POINT (278648.6720089352 188468.68148860813)
25,연도12,4.61E+18,연도,고시,옛날 풍수가 거처하면,273732.46,204901.53,1,,,POINT (273732.4558949201 204901.5342044293)
26,개도12,4.61E+18,개도,고시,천재봉과 봉화산의 형,261295.31,219277.28,1,,,POINT (261295.30610110585 219277.2841591229)
27,제도1,4.61E+18,도막여-1,고시,화정면 제도리 남쪽에,259986.28,221556.25,0,,,POINT (259986.27937348283 221556.25389416167)
28,제도2,4.61E+18,큰여,고시,제도리 남쪽에 위치한,259932.28,221506.25,0,,,POINT (259932.28036431942 221506.25335667626)
29,조발3,4.61E+18,납대기도,고시,"1/50,000 지형도에 하과",249073.27,225639.08,0,,,POINT (249073.27417270845 225639.07525221998)
30,조발4,4.61E+18,둔병도,고시,마을앞 갯벌에 병사들,249723.27,225931.08,1,,,POINT (249723.26669923734 225931.0831801957)
31,조발6,4.61E+18,홍도,고시,섬에 소나무(松)가 없,250874.26,226130.1,0,,,POINT (250874.25806838478 226130.09883791232)
32,조발9,4.61E+18,토도,수치,섬의 모양이 토끼와 같,252189.23,227389.11,0,,,POINT (252189.23325756143 227389.1115396208)
33,조발10,4.61E+18,조발도,고시,조발리의 리명을 따서,251267.25,226752.1,1,,,POINT (251267.24709650988 226752.10139088688)
34,적금1,4.61E+18,만월도,고시,섬이 달 모양처럼 둥글,247916.23,229095.04,0,,,POINT (247916.22998297508 229095.04097791837)
35,거문9,4.61E+18,고도보찰여,고시,상백도내의 무인도로 ,253904.14,163233.44,0,,,POINT (253904.14262939454 163233.44113103073)
36,거문10,4.61E+18,높은날섬,고시,상백도내의 무인도로 ,253793.15,162992.44,0,,,POINT (253793.14651629125 162992.4406402363)
37,거문11,4.61E+18,물개바위,고시,상배도내의 무인도로 ,253643.15,162981.44,0,,,POINT (253643.14733228038 162981.43857441476)
38,거문12,4.61E+18,사람바위,고시,상백도내의 무인도로 ,253801.15,162776.44,0,,,POINT (253801.14952594554 162776.44171561586)
39,서도2,4.61E+18,작은재립여,수치,,225540.29,162008.05,0,,,POINT (225540.28719649493 162008.05047513428)
40,서도3,4.61E+18,무구나무섬,고시,서도 뒤쪽 코바위 옆에,225683.28,162660.05,0,,,POINT (225683.27751945762 162660.04943190125)
41,서도4,4.61E+18,코바위도,고시,"1/50,000 지형도에 코바",225880.29,161722.06,0,,,POINT (225880.28959670724 161722.05650393612)
42,동도1,4.61E+18,반여,고시,간여 북쪽에 있는 작은,228770.24,164397.08,0,,,POINT (228770.23929719705 164397.0841704022)
43,동도2,4.61E+18,간여,고시,동도 북쪽에 있는 섬으,228501.26,163174.09,0,,,POINT (228501.25749603874 163174.08609863854)
44,초도16,4.61E+18,치섬,고시,꿩의 꼬리형태를 닮았,224596,182852.94,0,,,POINT (224596.00190372174 182852.93874185765)
45,초도17,4.61E+18,숨은여,고시,삼산면 역만도 부속섬,224145.01,182560.93,0,,,POINT (224145.00813363126 182560.93385521416)
2096,예6,4.69E+18,예6,,,57313.99,231233.93,0,,,POINT (57313.988414667285 231233.92596481647)
46,초도19,4.61E+18,구무섬,현지,섬에 구멍이 있었는데,224839,182554.94,0,,,POINT (224839.00490462536 182554.94357345492)
47,초도21,4.61E+18,구무섬,고시,섬에 구멍이 있었는데,224389.01,182021.94,0,,,POINT (224389.0144912554 182021.93986183027)
48,초도24,4.61E+18,안목섬,고시,진막을 중심으로 뻗어,220426.05,180904.89,0,,,POINT (220426.04898687475 180904.8900308627)
49,손죽27,4.61E+18,소두역서,고시,섬의 형태가 작은머리,250001.85,184931.29,0,,,POINT (250001.85317619998 184931.2867309947)
50,신상1,4.68E+18,소회도,고시,소플의도라 불리우다 ,197115.85,211497.85,0,,,POINT (197115.84753485036 211497.85151003394)
51,강진1,4.68E+18,죽도,고시,대나무 숲이 밀집해 있,179990.73,218675.14,0,,,POINT (179990.73141104524 218675.13552584802)
52,가사도-3,4.69E+18,접우도-1,현지,오래전부터 현지에서 ,106662.24,206992.4,0,,신규,POINT (106662.23785795076 206992.3963354705)
53,읍내1,4.69E+18,솔섬,고시,소나무가 많은 섬이라,127375.09,272864.84,1,연륙교,,POINT (127375.08793135933 272864.8384051033)
54,읍내2,4.69E+18,삼도,수치,,126467.16,272821.46,0,,,POINT (126467.15817734924 272821.4562427735)
55,읍내3,4.69E+18,똥섬,수치,,128077.14,273221.29,0,,,POINT (128077.13867897588 273221.29478804005)
56,읍내4,4.69E+18,중삼도,현지,,126292.21,272813.99,0,,,POINT (126292.20936919545 272813.9918944812)
57,읍내5,4.69E+18,대삼도,현지,,126611.75,272857.18,0,,,POINT (126611.75178781609 272857.17599811754)
58,탄동1,4.69E+18,추섬,수치,,126950.96,269443.19,0,,,POINT (126950.96339249914 269443.1930409064)
59,탄동2,4.69E+18,안마도,고시,섬이 편안히 쉬는 말의,126407.16,268731.78,0,,,POINT (126407.16148391129 268731.7810553598)
60,탄동3,4.69E+18,소복기섬,고시,섬 모양이 엎드려 있는,126884.74,268298.35,0,,,POINT (126884.74045032905 268298.3472884657)
61,당촌1,4.69E+18,사옥도,고시,,123746.45,271601.91,1,연륙교,,POINT (123746.44580945227 271601.91270541644)
62,당촌2,4.69E+18,단문규도,고시,,122649.52,274412.5,0,,,POINT (122649.52026406207 274412.4969835546)
63,방축10,4.69E+18,세목섬,고시,육지와 섬 사이에 좁은,119099.79,266783.84,0,,,POINT (119099.79239243985 266783.8407008233)
64,대초1,4.69E+18,몰암도,수치,,126328.5,266827.95,0,,,POINT (126328.50096893588 266827.94686473336)
65,대초2,4.69E+18,애기섬,고시,앞쪽의 큰 버지섬보다,125558.32,266297.72,0,,,POINT (125558.31796037681 266297.724661365)
66,대초3,4.69E+18,작은애기섬,고시,애기섬보다 더 작은 섬,125777.99,265861.42,0,,,POINT (125777.98655443455 265861.42437631753)
67,대초4,4.69E+18,샘이섬,고시,섬에 샘이 있어 샘이섬,125685.97,264986.68,0,,,POINT (125685.9660485565 264986.67956738855)
68,대초5,4.69E+18,소술웅도,고시,,125141.66,263968.59,0,,,POINT (125141.65627415526 263968.5864826668)
69,대초6,4.69E+18,화도,고시,,123366.52,261995.89,1,,,POINT (123366.520041113 261995.89058979653)
70,대초7,4.69E+18,석섬,수치,,123267.7,261009.29,0,,,POINT (123267.70205316509 261009.29437142046)
71,대초8,4.69E+18,작은새미섬,수치,,125206.86,260752.12,0,,,POINT (125206.86464489477 260752.1233198666)
72,대초9,4.69E+18,큰새미섬,수치,,124999.42,260459.88,0,,,POINT (124999.42388983132 260459.8823075791)
73,대초15,4.69E+18,비겨섬,고시,섬 모양이 가로 놓인것,122561.8,259349.37,0,,,POINT (122561.79691993036 259349.36607825855)
74,병풍12,4.69E+18,대섬,수치,,126843.78,257539.3,0,,,POINT (126843.77631742231 257539.2963911427)
75,병풍13,4.69E+18,거멍바위섬,수치,,127446.23,257630.95,0,,,POINT (127446.23040271965 257630.95401756017)
76,병풍14,4.69E+18,나비섬,수치,섬 모양이 나비처럼 생,127765.45,258401.49,0,,,POINT (127765.4449789494 258401.49462226208)
77,병풍15,4.69E+18,곡두섬,고시,섬形이 머리 모양으로,128059.82,260114.86,0,,,POINT (128059.82486199634 260114.85908119282)
78,병풍17,4.69E+18,볼매이딴섬,수치,,126431.76,260510.66,0,,,POINT (126431.7614262879 260510.66447523737)
79,병풍28,4.69E+18,침해섬,수치,,128030.48,258616.19,0,,,POINT (128030.48244291998 258616.19190826523)
80,임자1,4.69E+18,임자도,고시,,119288.96,276348.91,1,,,POINT (119288.96094155948 276348.9117876311)
81,도찬1,4.69E+18,바람막이도,고시,북쪽에 가로놓여있는 ,118656.86,283409.83,0,,,POINT (118656.86440098302 283409.8339658941)
82,도찬2,4.69E+18,어유미도,고시,섬 모양이 물에서 놀고,118096.5,281970.67,0,,,POINT (118096.4996685424 281970.6725450445)
83,도찬3,4.69E+18,고거이도,고시,섬 모양이 귀처럼 생겼,124162.5,283037.07,0,,,POINT (124162.50153704015 283037.073883444)
84,광산2,4.69E+18,혈도,수치,,115551.7,282077.51,0,,,POINT (115551.69742785698 282077.51407028135)
85,재원2,4.69E+18,상항월도,고시,섬의 지형이 목침(木枕,111914.55,277757.7,0,,,POINT (111914.55249071022 277757.6982964231)
86,재원3,4.69E+18,대노록도,고시,이곳의 지형이 사슴이,107393.16,279017.71,1,,,POINT (107393.15727244837 279017.70975846594)
87,재원4,4.69E+18,소노록도,고시,대로록도 옆에 있는 작,107137.61,278214.31,0,,,POINT (107137.60980670706 278214.306488248)
88,재원5,4.69E+18,소비치도,고시,대비치도 옆에 있는 작,100045.86,291144.32,0,,,POINT (100045.8613197499 291144.3176010257)
89,대율1,4.69E+18,상나배도,고시,모양이 자라형국인데 ,117034.96,256209.52,0,,,POINT (117034.95734439029 256209.51975866867)
90,대율2,4.69E+18,중나배도,고시,모양이 자라형국인데 ,117603.71,256170.05,0,,,POINT (117603.71138259083 256170.05168054113)
91,홍도11,4.69E+18,홍도-3,부여,,35437.1,237413.16,0,,,POINT (35437.10373262677 237413.16350984055)
92,대율3,4.69E+18,하나배도,고시,자라형국을 한 무인도,117844.65,256513.27,0,,,POINT (117844.65426831564 256513.27380589792)
142,홍도16,4.69E+18,홍도-5,부여,,35027.57,236248.97,0,,,POINT (35027.57212763335 236248.9730178062)
93,유천1,4.69E+18,기섬,고시,섬이 기(게)처럼 생겼,115668.99,252277.54,0,,,POINT (115668.98570901752 252277.53969333804)
94,유각1,4.69E+18,조산도,수치,,113415.96,251269.19,0,,,POINT (113415.95706231477 251269.18663800572)
95,유각2,4.69E+18,신리섬,수치,,112824.06,250023.07,0,,,POINT (112824.06341334879 250023.06639558112)
96,유각3,4.69E+18,선근도,고시,간조시 걸어서 쉽게 들,111921.08,250184.34,0,,,POINT (111921.07578047135 250184.341286922)
97,가산4,4.69E+18,방구섬,고시,방구(바위)처럼 둥글게,112300.72,243737.72,0,,,POINT (112300.7227762436 243737.7220534489)
98,가산5,4.69E+18,상노대섬,고시,노대섬 위에 위치한 섬,111016.82,243508.28,0,,,POINT (111016.82263792794 243508.28130393423)
99,신원1,4.69E+18,우세도,고시,섬에 있는 산의 지형이,100332.11,244490.89,0,,,POINT (100332.10790901908 244490.8930029063)
100,신원2,4.69E+18,소우세도,고시,우세도 부근에 위치한,99503.01,244022.88,0,,,POINT (99503.00822169142 244022.8779155673)
101,신원3,4.69E+18,소섬,고시,섬의 지형이 소처럼 생,99322.57,243358.32,0,,,POINT (99322.5741407261 243358.31765351596)
102,신원4,4.69E+18,대당도,고시,,101278.1,243874.1,0,,,POINT (101278.10327462018 243874.10438593174)
103,신원5,4.69E+18,중당도,고시,,101281.51,243719.76,0,,,POINT (101281.51130199729 243719.76338838472)
104,신원6,4.69E+18,소당도,고시,이 섬이 소댕(솥을 덮,101252.89,243434.05,0,,,POINT (101252.88826916623 243434.04978002352)
105,신원7,4.69E+18,동구도,고시,바위로 이루어진 섬으,99749.15,244343.35,0,,,POINT (99749.1454563313 244343.35218697443)
106,고서1,4.69E+18,칠발도,고시,일곱개의 작은섬으로 ,89067.04,244241.08,0,,,POINT (89067.03899596483 244241.0756679345)
107,수치4,4.69E+18,상독도,고시,상수치 북쪽에 있는 외,109775.21,240725.21,0,,,POINT (109775.20529827809 240725.2077849274)
108,수치5,4.69E+18,하독도,고시,상독도 아래쪽에 있는,109581.75,239965.35,0,,,POINT (109581.74559270979 239965.34685324028)
109,수치6,4.69E+18,솔섬,고시,예전에 소나무가 울창,111010.99,239974.37,0,,,POINT (111010.98782678726 239974.3698430847)
110,수치8,4.69E+18,개악도,고시,,111618.98,238900.1,0,,,POINT (111618.98247610505 238900.0974952053)
111,우이도13,4.69E+18,서소우이도,고시,,96392.49,224185.09,1,,,POINT (96392.48750623093 224185.08571755223)
112,우이도14,4.69E+18,동소우이도,고시,,97567.23,224130.41,1,,,POINT (97567.22817344693 224130.41043603845)
113,우이도15,4.69E+18,승도,고시,이 섬은 풀과 나무가 ,96152.84,223651.95,0,,,POINT (96152.83992367191 223651.95281128527)
114,우이도16,4.69E+18,항도,고시,섬 중간이 목처럼 짤록,96233.48,223492.47,0,,,POINT (96233.48152687149 223492.47483272938)
115,우이도17,4.69E+18,화도,고시,꽃과 같이 아름다운 섬,96620.07,223193.64,0,,,POINT (96620.07111948369 223193.6427014934)
116,우이도18,4.69E+18,할미섬,수치,,98238.43,222884.93,0,,,POINT (98238.4324720816 222884.93175946857)
117,우이도20,4.69E+18,어락도,고시,섬이 고기잡이하기에 ,93414.68,221514.42,0,,,POINT (93414.6772896321 221514.4169790048)
118,예1,4.69E+18,가도(명섬),수치,,59326.79,234959.98,0,,,POINT (59326.79487856233 234959.979898036)
119,예2,4.69E+18,횡섬,고시,예미 동북쪽에 있는 섬,57901.29,234007.37,0,,,POINT (57901.292163424456 234007.3657202759)
120,예4,4.69E+18,흑산-4,부여,,57992.02,233014.8,0,,,POINT (57992.020309176005 233014.80224705866)
121,예9,4.69E+18,흑산-5,부여,,55659.38,230476.65,0,,,POINT (55659.37758793574 230476.64665451657)
122,예10,4.69E+18,흑산-6,부여,,55692.32,230485.8,0,,,POINT (55692.322262095695 230485.7950168638)
123,비1,4.69E+18,내망덕도-1,부여,,52214.7,234742.54,0,,,POINT (52214.69604282311 234742.53921001923)
124,비2,4.69E+18,내망덕도-2,부여,,52234.23,234720.69,0,,,POINT (52234.22519694318 234720.68560073868)
125,비4,4.69E+18,내망덕도,고시,비리 서쪽에 있어 풍파,52574.02,234419.04,0,,,POINT (52574.01687552096 234419.0418903809)
126,비5,4.69E+18,외망덕도,고시,,52979.81,234854.39,0,,,POINT (52979.810714972875 234854.38926485326)
127,비7,4.69E+18,쥐머리섬,고시,섬이 모양이 쥐의 머리,53055.2,234118.55,0,,,POINT (53055.19763740394 234118.54797800654)
128,비8,4.69E+18,소장도,고시,대장도보다 작은섬이,52251.9,233565.46,0,,,POINT (52251.89583795867 233565.45628588484)
129,비9,4.69E+18,대장도,고시,섬이 길게 자리잡고 있,50704.37,232279.02,1,,,POINT (50704.36914223456 232279.02084533143)
130,매화9,4.69E+18,매화9,,,131103.12,262603.05,0,,,POINT (131103.11933856376 262603.0512591176)
131,비10,4.69E+18,용두산,현지,,51375.3,232841.34,0,,,POINT (51375.300683167705 232841.34377156326)
132,사2,4.69E+18,바당섬,수치,,54867.77,228481.89,0,,,POINT (54867.766068307945 228481.88730502687)
133,사3,4.69E+18,바당섬-1,부여,,54879.48,228533.61,0,,,POINT (54879.47933441389 228533.61012398842)
134,홍도1,4.69E+18,홍도,고시,황해의 서쪽끝에 있는,34952.39,234288.78,1,,,POINT (34952.38937032831 234288.78198327753)
135,홍도2,4.69E+18,탑섬,고시,섬 모양이 석탑과 흡사,35133.95,238081.3,0,,,POINT (35133.94526806715 238081.30326053192)
136,홍도3,4.69E+18,탑섬1,현지,,35224.31,238108.54,0,,,POINT (35224.30733136705 238108.53922337218)
137,홍도4,4.69E+18,탑섬2,현지,,35066.09,237986.1,0,,,POINT (35066.09491683444 237986.10003191605)
138,홍도5,4.69E+18,띠섬,수치,,34882.66,237566.19,0,,,POINT (34882.66242841625 237566.1884885024)
139,홍도9,4.69E+18,홍도-1,부여,,34346.73,237072.22,0,,,POINT (34346.72918213249 237072.21998023213)
140,홍도10,4.69E+18,홍도-2,부여,,34316.16,237047.88,0,,,POINT (34316.15868992536 237047.8777548966)
141,홍도12,4.69E+18,홍도-4,부여,,35436.41,237365.96,0,,,POINT (35436.41033404763 237365.9648127777)
143,홍도18,4.69E+18,홍도-6,부여,,35012.55,235649.58,0,,,POINT (35012.550797532575 235649.57878067106)
144,홍도19,4.69E+18,홍도-7,부여,,35001.46,235637.84,0,,,POINT (35001.4550182379 235637.8437178902)
145,홍도20,4.69E+18,홍도-8,부여,,32973.96,234048.3,0,,,POINT (32973.96231709927 234048.30161936657)
146,홍도21,4.69E+18,단오섬,고시,멀리서 보면 까마귀 형,33127.08,233894.15,0,,,POINT (33127.07725935732 233894.1515646422)
147,홍도65,4.69E+18,홍도-31,부여,,35439.6,233404.78,0,,,POINT (35439.603350904974 233404.77594307944)
148,홍도66,4.69E+18,홍도-32,부여,,36150.77,234866.6,0,,,POINT (36150.7662606526 234866.60431377537)
149,홍도69,4.69E+18,홍도-33,부여,,36027.43,234645.16,0,,,POINT (36027.42686217965 234645.15521195228)
150,홍도71,4.69E+18,홍도-34,부여,,35949.89,234611.57,0,,,POINT (35949.88979178501 234611.56645345117)
151,홍도73,4.69E+18,홍도-35,부여,,35911.82,234327.25,0,,,POINT (35911.8186307514 234327.2498419644)
152,홍도74,4.69E+18,진섬,수치,,35252.88,236807.71,0,,,POINT (35252.876593185705 236807.70517810964)
153,태도1,4.69E+18,국흘도,고시,,44099.51,209276.01,0,,,POINT (44099.5124873606 209276.00898186583)
154,태도2,4.69E+18,외도,고시,상태도 북쪽 바깥에 있,43689.32,208569.72,0,,,POINT (43689.31988730695 208569.7242899405)
155,태도3,4.69E+18,대술개도,고시,,43727.5,207737.92,0,,,POINT (43727.49605798695 207737.9219963564)
156,태도5,4.69E+18,상태도,고시,태도리내에 있는 유인,42694.46,206560.36,0,,,POINT (42694.455207954015 206560.36347771384)
157,태도6,4.69E+18,중태도,고시,태도리내에 있는 유인,42212.26,204710.58,0,,,POINT (42212.2572978042 204710.5800605439)
158,태도7,4.69E+18,강섬,고시,,43779.34,202304.41,0,,,POINT (43779.336609031714 202304.4116452663)
159,태도8,4.69E+18,노은도,고시,옛날 이 섬에서 노인이,42950.78,201763.14,0,,,POINT (42950.78147437028 201763.14469010103)
160,태도9,4.69E+18,다라도,고시,부근에 섬이 많이 있어,44992.36,200377.07,0,,,POINT (44992.356169449515 200377.06876141566)
161,태도10,4.69E+18,하태도,고시,태도리내에 있는 유인,43527.82,200832.62,0,,,POINT (43527.822508619895 200832.61767558416)
162,만재도3,4.69E+18,내마도,고시,말의 형상을 닮아서 붙,58426.5,180516.44,0,,,POINT (58426.495836721704 180516.4397242596)
163,만재도4,4.69E+18,녹도,고시,사슴의 형상을 닮았다,59659.29,179741.42,0,,,POINT (59659.29025125524 179741.41966984892)
164,만재도8,4.69E+18,국도,고시,들국화가 많이 핀다고,60837.25,179818.15,0,,,POINT (60837.25239367795 179818.14689520246)
165,만재도10,4.69E+18,백여,고시,섬 색깔이 희다고해서,59649.97,182553.22,0,,,POINT (59649.972254577384 182553.21987482387)
166,만재도11,4.69E+18,제여,고시,여러 섬들을 다스린다,61362.37,182159.04,0,,,POINT (61362.36810565996 182159.03558893135)
167,만재도13,4.69E+18,흑도,고시,섬이 검다하여 붙여진,61335.46,181260.2,0,,,POINT (61335.458485533425 181260.19957850728)
168,다물도1,4.69E+18,다물도,고시,흑산면에서 해산물이 ,57538.84,239130.55,1,,,POINT (57538.83871075095 239130.54807306558)
169,다물도2,4.69E+18,솔섬,고시,소나무가 무성한 섬이,57757.74,238130.2,0,,,POINT (57757.741164728795 238130.20434727398)
170,대1,4.69E+18,동골도,고시,섬 모양이 동그랗게 생,109437.62,223110.46,0,,,POINT (109437.62194871415 223110.4606917337)
171,능산20,4.69E+18,능산도,고시,섬이 능선으로 이루어,108406.2,225092.12,1,,,POINT (108406.20488753851 225092.11523283378)
172,능산21,4.69E+18,작은장구섬,현지,,107747.25,226506.92,0,,,POINT (107747.25011448647 226506.9200464575)
173,능산22,4.69E+18,북도,수치,,107848.62,226620.72,0,,,POINT (107848.62100822729 226620.71870239184)
174,팽진8,4.69E+18,노루섬,고시,섬 모양이 노루처럼 생,123442.3,225153.85,0,,,POINT (123442.29966640356 225153.8544473421)
175,팽진9,4.69E+18,넓도,고시,평탄하고 넓적하여 넓,124550.74,225335.39,0,,,POINT (124550.73578672108 225335.38717284845)
176,팽진10,4.69E+18,굴배섬,고시,섬에 굴이 있어 굴배섬,124561.18,224945.04,0,,,POINT (124561.18393693327 224945.03560645407)
177,팽진11,4.69E+18,백야도,고시,,125127.74,224666.19,1,,,POINT (125127.74436452212 224666.1898077876)
178,팽진12,4.69E+18,노랑섬,고시,섬의 숲이 누렇다 해서,124522.71,224488.26,0,,,POINT (124522.70825718659 224488.25577574794)
179,팽진13,4.69E+18,밖섬,고시,"노루섬 남쪽, 바깥쪽에",123764.1,224581.73,0,,,POINT (123764.09842371533 224581.7311048627)
180,자라12,4.69E+18,치드등대,현지,,127610.59,230787.75,0,,,POINT (127610.58795970975 230787.7489962303)
181,존포1,4.69E+18,부소도,고시,,121426.26,233356.38,1,,,POINT (121426.26292765266 233356.38088831631)
182,소곡1,4.69E+18,단도,고시,두리 서남쪽에 있는 외,118851.38,235923.06,0,,,POINT (118851.38187940519 235923.05906828633)
183,박지1,4.69E+18,박지도,고시,박처럼 생긴 섬이라서,120149.93,235104.47,1,연도교,,POINT (120149.92610609019 235104.46835253015)
184,한운8,4.69E+18,송도,수치,,114307.92,239322.61,0,,,POINT (114307.91564244156 239322.60780440265)
185,이목7,4.69E+18,죽도,수치,,123638.27,246215.59,0,,,POINT (123638.27101640281 246215.5871756093)
186,이목8,4.69E+18,할미도,수치,,125531.89,246097.35,0,,,POINT (125531.8872379508 246097.34544458665)
187,이목9,4.69E+18,상납덕도,수치,,127124.43,245029.65,0,,,POINT (127124.43111818588 245029.650407716)
188,이목10,4.69E+18,하납덕도,수치,,128010.46,245981.68,0,,,POINT (128010.45895264119 245981.68463523005)
189,당고1,4.69E+18,거사도,고시,모래가 많은 섬이라서,124247.54,243437.45,1,,,POINT (124247.53780603272 243437.450212383)
190,당고2,4.69E+18,용도,고시,섬의 지형이 용의 머리,126746.71,244013.07,0,,,POINT (126746.70710206797 244013.0674401404)
2097,예7,4.69E+18,예7,,,57168.93,230975.59,0,,,POINT (57168.933639182564 230975.58876105986)
191,암태1,4.69E+18,암태도,고시,,118794.68,248231.13,1,연도교,,POINT (118794.67911492097 248231.1306397739)
192,당사8,4.69E+18,대번덕도,고시,옛날 이 섬에서 나오는,126851.63,256227.08,0,,,POINT (126851.62709738467 256227.0825584184)
193,당사11,4.69E+18,꾸들더섬,수치,,127606.35,256476.54,0,,,POINT (127606.34512096128 256476.53728185006)
194,압해1,4.69E+18,압해도,고시,,137132.51,252396.35,1,연륙교,,POINT (137132.5122739536 252396.35383891786)
195,복룡1,4.69E+18,석류섬,수치,,138544.13,257493.39,0,,,POINT (138544.13413846862 257493.39129378344)
196,복룡2,4.69E+18,효지도,고시,,140619.62,256894.59,1,,,POINT (140619.62388462573 256894.59135824005)
197,복룡3,4.69E+18,발갈섬,고시,칡넝쿨이 많이 있다하,141929.79,256320.6,0,,,POINT (141929.78891252616 256320.59779148054)
198,가룡1,4.69E+18,청도,고시,늘 푸르게 보이는 섬이,132471.58,256583.36,0,,,POINT (132471.58117954657 256583.36485597817)
199,매화8,4.69E+18,덕개도,고시,옛날 도깨비가 놀던 섬,129571.01,262432.47,0,,,POINT (129571.01203112559 262432.4723893458)
200,매화10,4.69E+18,매화-1,부여,,131070.28,260344.22,0,,,POINT (131070.27538185827 260344.22171238041)
201,매화11,4.69E+18,똥섬,현지,,132032.25,259801.76,0,,,POINT (132032.2489354221 259801.76317323273)
202,매화15,4.69E+18,작은고동섬,행정,,132140.35,258259.34,0,,,POINT (132140.3483283086 258259.3360975777)
203,달동4,4.61E+18,별도,고시,,135300.64,243458.38,0,,,POINT (135300.64478625855 243458.3825380889)
204,달동5,4.61E+18,소두량섬,고시,,138094.62,243729.42,0,,,POINT (138094.62461542484 243729.41887496813)
205,달동6,4.61E+18,노속도,고시,,142258.65,240379.5,0,,,POINT (142258.64576324195 240379.49535708362)
206,달동7,4.61E+18,한산도(녀),수치,,135797.66,242222.4,0,,,POINT (135797.65862143162 242222.3966475674)
207,율도동1,4.61E+18,눌도,고시,,138170.6,245515.41,1,,,POINT (138170.59987369613 245515.40926786326)
208,율도동2,4.61E+18,맥도,고시,,137534.62,244035.41,0,,,POINT (137534.62375788123 244035.4094399223)
209,율도동3,4.61E+18,우도,고시,,138909.61,244256.43,0,,,POINT (138909.6126446651 244256.42682495172)
210,율도동4,4.61E+18,장좌도,고시,,139388.62,243818.44,1,,,POINT (139388.61578357505 243818.43594747118)
211,수정1,4.61E+18,오동도,고시,이곳에 동백꽃 나무가,270162.97,239036.32,1,연륙교,,POINT (270162.973314436 239036.31557556224)
212,중앙1,4.61E+18,장군도,고시,연산3년(1497년) 수사 이,267395.01,237733.28,0,,,POINT (267395.006297846 237733.28139610827)
213,신월2,4.61E+18,능초도,수치,,263828.05,236155.24,0,,,POINT (263828.04728133156 236155.23698623746)
