연번,시도,시군구,섬이름,위도,경도,id_count,source_count,velocity_0_count,velocity_1_count,velocity_2_count,state_count,age_count,Points_0_count,Points_1_count,Points_2_count
67,전라남도,고흥군,첨도,34.569803530000002,127.447196399999996,,,,,,,,,,
68,전라남도,고흥군,오도,34.571402759999998,127.399891600000004,,,,,,,,,,
69,전라남도,고흥군,취도,34.568099199999999,127.417333200000002,7,7,7,7,7,7,7,7,7,7
70,전라남도,고흥군,외나로도,34.445945999999999,127.501708100000002,9,9,9,9,9,9,9,9,9,9
71,전라남도,고흥군,사양도,34.473454500000003,127.441975200000002,,,,,,,,,,
72,전라남도,고흥군,애도,34.463909675837712,127.447494055982901,,,,,,,,,,
73,전라남도,고흥군,수락도,34.478491370000000,127.402439099999995,281,281,281,281,281,281,281,281,281,281
74,전라남도,고흥군,우도,34.724447869999999,127.310634100000001,,,,,,,,,,
75,전라남도,고흥군,백일도,34.694697240000004,127.434508699999995,,,,,,,,,,
76,전라남도,고흥군,옥금도,34.703012999999999,127.415525000000002,,,,,,,,,,
77,전라남도,고흥군,원주도,34.667797370000002,127.470830399999997,6478,6478,6478,6478,6478,6478,6478,6478,6478,6478
78,전라남도,고흥군,진지도,34.712878330000002,127.444153200000002,,,,,,,,,,
79,전라남도,고흥군,대옥대도,34.566498680000002,127.468868200000003,,,,,,,,,,
80,전라남도,고흥군,내나로도,34.497431249999998,127.476978200000005,,,,,,,,,,
81,전라남도,보성군,장도,34.787130210000001,127.450787500000004,,,,,,,,,,
82,전라남도,보성군,해도,34.809041710000002,127.440895900000001,,,,,,,,,,
83,전라남도,보성군,지주도,34.781608990000002,127.422937300000001,,,,,,,,,,
84,전라남도,장흥군,장재도,34.617666600000000,127.012220999999997,,,,,,,,,,
85,전라남도,장흥군,노력도,34.456169060000001,126.965714800000001,,,,,,,,,,
86,전라남도,강진군,가우도,34.534326309990405,126.781700700252301,,,,,,,,,,
87,전라남도,해남군,상마도,34.461339740000000,126.414868499999997,356,356,356,356,356,356,356,356,356,356
88,전라남도,해남군,중마도,34.436549970000002,126.433254599999998,,,,,,,,,,
89,전라남도,해남군,하마도,34.432801499999997,126.437496800000005,,,,,,,,,,
90,전라남도,해남군,어불도,34.340740550000000,126.471397800000005,,,,,,,,,,
91,전라남도,해남군,임하도,34.611306900000002,126.267455299999995,,,,,,,,,,
92,전라남도,해남군,금호도,34.684631220000000,126.358971299999993,,,,,,,,,,
93,전라남도,해남군,시하도,34.699326730000003,126.242538199999998,67,67,67,67,67,67,67,67,67,67
94,전라남도,무안군,탄도,35.010678540000001,126.315652799999995,,,,,,,,,,
95,전라남도,영광군,상낙월도,35.204422659999999,126.143143600000002,,,,,,,,,,
96,전라남도,영광군,하낙월도,35.197128780000000,126.125937300000004,,,,,,,,,,
97,전라남도,영광군,소각시도,35.192883999999999,126.221125000000001,,,,,,,,,,
98,전라남도,영광군,송이도,35.283811069999999,126.144268999999994,,,,,,,,,,
99,전라남도,영광군,안마도,35.345902060000000,126.028181399999994,,,,,,,,,,
100,전라남도,영광군,대석만도,35.372394229999998,126.048304799999997,,,,,,,,,,
101,전라남도,영광군,죽도,35.353537809999999,126.001211600000005,,,,,,,,,,
102,전라남도,영광군,횡도,35.336866160000000,125.991051299999995,,,,,,,,,,
103,전라남도,영광군,대각이도,35.247316759999997,126.096854600000000,,,,,,,,,,
104,전라남도,완도군,완도,34.351616530000001,126.699482200000006,,,,,,,,,,
105,전라남도,완도군,평일도,34.348092549999997,127.047548899999995,13,13,13,13,13,13,13,13,13,13
106,전라남도,완도군,충도,34.382287490000003,127.081549300000006,,,,,,,,,,
107,전라남도,완도군,우도,34.310370890000002,127.063497699999999,1,1,1,1,1,1,1,1,1,1
108,전라남도,완도군,다랑도,34.306029369999997,127.101042699999994,14,14,14,14,14,14,14,14,14,14
109,전라남도,완도군,황제도,34.192053059999999,127.073771600000001,,,,,,,,,,
110,전라남도,완도군,신도,34.390326760000001,127.042622800000004,,,,,,,,,,
111,전라남도,완도군,원도,34.219985330000000,127.197512599999996,16,16,16,16,16,16,16,16,16,16
112,전라남도,완도군,장도(금일읍),34.206001690000001,127.165570700000004,2,2,2,2,2,2,2,2,2,2
113,전라남도,완도군,소랑도,34.325748169999997,127.084754399999994,15,15,15,15,15,15,15,15,15,15
114,전라남도,완도군,섭도,34.302864569999997,127.126866699999994,,,,,,,,,,
115,전라남도,완도군,노화도,34.204493169999999,126.585369900000003,,,,,,,,,,
116,전라남도,완도군,장사도,34.173216519999997,126.560949699999995,,,,,,,,,,
117,전라남도,완도군,노록도,34.201082290000002,126.542850999999999,,,,,,,,,,
118,전라남도,완도군,마삭도,34.245044309999997,126.565171100000001,,,,,,,,,,
119,전라남도,완도군,넙도(노화읍),34.187107566889836,126.504806578033438,364,364,364,364,364,364,364,364,364,364
120,전라남도,완도군,대정원도,34.265497410000002,126.426691000000005,,,,,,,,,,
121,전라남도,완도군,마안도,34.209842799999997,126.513280600000002,24,24,24,24,24,24,24,24,24,24
122,전라남도,완도군,어룡도,34.286669580000002,126.475420600000007,,,,,,,,,,
123,전라남도,완도군,대장구도,34.261458019999999,126.451742800000005,,,,,,,,,,
124,전라남도,완도군,후장구도,34.197921559999997,126.491949800000000,242,242,242,242,242,242,242,242,242,242
125,전라남도,완도군,서넙도,34.186339940000003,126.480069200000003,,,,,,,,,,
126,전라남도,완도군,죽굴도,34.230425799999999,126.421211200000002,,,,,,,,,,
127,전라남도,완도군,사후도,34.395477560000003,126.738292500000000,,,,,,,,,,
128,전라남도,완도군,고마도,34.415214030000001,126.713243300000002,,,,,,,,,,
129,전라남도,완도군,토도,34.421376660000000,126.686862099999999,,,,,,,,,,
130,전라남도,완도군,달도,34.397510326106961,126.635123387205979,,,,,,,,,,
131,전라남도,완도군,흑일도,34.278704650000002,126.555832199999998,,,,,,,,,,
132,전라남도,완도군,백일도,34.297399239999997,126.585061699999997,,,,,,,,,,
133,전라남도,완도군,서화도,34.317987150000000,126.503191799999996,151,151,151,151,151,151,151,151,151,151
134,전라남도,완도군,동화도,34.288012160000001,126.608915100000004,,,,,,,,,,
135,전라남도,완도군,양도,34.299453669999998,126.508758200000003,,,,,,,,,,
136,전라남도,완도군,신지도,34.333793720000003,126.848666499999993,119,119,119,119,119,119,119,119,119,119
137,전라남도,완도군,모황도,34.286419039999998,126.897534100000001,,,,,,,,,,
138,전라남도,완도군,고금도,34.405453260000002,126.809535400000001,,,,,,,,,,
139,전라남도,완도군,넙도(고금면),34.427258350000002,126.854438200000004,,,,,,,,,,
140,전라남도,완도군,초완도,34.421805509999999,126.873180199999993,,,,,,,,,,
141,전라남도,완도군,조약도,34.381179709999998,126.902607500000002,,,,,,,,,,
142,전라남도,완도군,청산도,34.181573149999998,126.887186799999995,33,33,33,33,33,33,33,33,33,33
143,전라남도,완도군,장도(청산면),34.203685350000001,126.850266500000004,,,,,,,,,,
144,전라남도,완도군,대모도,34.194367280000002,126.761320799999993,,,,,,,,,,
145,전라남도,완도군,소모도,34.225175929999999,126.774157700000004,,,,,,,,,,
146,전라남도,완도군,여서도,33.978528339999997,126.923166899999998,,,,,,,,,,
147,전라남도,완도군,소안도,34.161643550000001,126.652856200000002,,,,,,,,,,
148,전라남도,완도군,당사도,34.104594779999999,126.594675199999998,,,,,,,,,,
149,전라남도,완도군,횡간도,34.241571380000003,126.608947700000002,,,,,,,,,,
150,전라남도,완도군,구도,34.208013950000002,126.634562900000006,,,,,,,,,,
151,전라남도,완도군,금당도,34.436644180000002,127.052225300000003,,,,,,,,,,
152,전라남도,완도군,비견도,34.420729420000001,127.082195799999994,,,,,,,,,,
153,전라남도,완도군,허우도,34.412057220000001,127.117603099999997,,,,,,,,,,
154,전라남도,완도군,보길도,34.142593202484896,126.552125295317495,,,,,,,,,,
155,전라남도,완도군,예작도,34.131221969999999,126.569345299999995,,,,,,,,,,
156,전라남도,완도군,생일도,34.324085330000003,126.984475000000003,1,1,1,1,1,1,1,1,1,1
