하천명,본류,제1지류,제2지류,제3지류,제4지류,제5지류,제6지류,하천등급,하천 기점,시군구1,읍면동1,경계1,하천 종점,시군구2,읍면동2,경계2,하천연장_킬로미터,유로연장_킬로미터,유역면적_제곱킬로미터,제방정비,제방보강,제방신설,하천지정근거 및 일자
수어천,수어천,,,,,,,지방,전남,광양,진상,어치1259지선,전남,광양,광영,해안,23.25,26.3,119.78,0.59,12.63,11.45,전남453호 (2003.12.27 )
성황천,성황천,,,,,,,지방,전남,광양,골약,성황646번지선,전남,광양,골약,도이 해안,3.02,6.87,8.46,0.92,1.51,1.33,전남453호 (2003.12.27 )
광양서천,광양서천,,,,,,,지방,전남,광양,봉강,조령831번지선,전남,광양,광양,초남 해안,20.4,24.51,179.1,7.20,4.79,0.63,전남453호 (2003.12.27 )
율촌천,율촌천,,,,,,,지방,전남,여수,율촌,산수945번지선 여평제 방수로,전남,여수,월산,조화 855번지선조화배수갑문수문,4.36,5.83,10.57,0.40,,6.40,전남453호 (2003.12.27 )
연등천,연등천,,,,,,,지방,전남,여수,둔덕,538-2번지선무명교 지점,전남,여수,남산,1번지선(해안),6.14,9.12,15.74, 6.45 , 5.19 ,,전남453호 (2003.12.27 )
순천동천,순천동천,,,,,,,지방,전남,순천,서,청소78번지선,전남,순천,대대,해안,24.28,35.53,367.45,12.42,5.37,2.84,전남453호 (2003.12.27 )
석현천,석현천,,,,,,,지방,전남,순천,별량,봉림214-1번지선,전남,순천,별량,원창배수문,2.33,5.76,17.92,0.02,,4.64,전남453호 (2003.12.27 )
양촌천,양촌천,,,,,,,지방,전남,보성,벌교,장양리899-4번지선,전남,보성,벌교,장양 해안,1.3,2.6,1.84,,2.60 ,,전남453호 (2003.12.27 )
벌교천,벌교천,,,,,,,지방,전남,보성,벌교,추동제 방수로,전남,보성,벌교,벌교 해안,9.34,14.09,73.94,1.78 ,1.06 ,,전남453호 (2003.12.27 )
칠동천,칠동천,,,,,,,지방,전남,보성,벌교,천치저수지방수로,전남,보성,벌교,벌교 해안,9.34,14.29,33.0,0.21,0.60,17.38,전남453호 (2003.12.27 )
와우천,와우천,,,,,,,지방,전남,고흥,동강,한천185번지선,전남,고흥,동강,죽암 해안,6.12,7.98,7.9,,,8.35,전남453호 (2003.12.27 )
대강천,대강천,,,,,,,지방,전남,고흥,동강,대강저수지방류부 종점,전남,고흥,동강,유둔리 죽암방조제,7.79,9.6,45.33,2.96,5.56,5.76,전남453호 (2003.12.27 )
강산천,강산천,,,,,,,지방,전남,고흥,고암,성기375번지선,전남,고흥,점암,강산 해안,4.79,5.32,10.8,1.66,0.22,7.70,전남453호 (2003.12.27 )
송산천,송산천,,,,,,,지방,전남,고흥,포두,송산335번지선,전남,고흥,포두,송산 해안,3.43,4.98,12.3,2.25,,2.00,전남453호 (2003.12.27 )
고흥천,고흥천,,,,,,,지방,전남,고흥,고흥,등압772번지선(등암저수지),전남,고흥,포두,상대 해안,9.27,12.94,35.86,4.07,1.49,11.84,전남453호 (2003.12.27 )
양지천,양지천,,,,,,,지방,전남,고흥,포두,세동581-1 번지선,전남,고흥,포두,세동 해안,2.23,3.01,3.95,0.53 ,,3.93 ,전남453호 (2003.12.27 )
도화천,도화천,,,,,,,지방,전남,고흥,도화,신기1567-1 번지선,전남,고흥,도화,당조 해안,5.2,7.53,18.2,1.98 ,6.41 ,1.45 ,전남453호 (2003.12.27 )
가영천,가영천,,,,,,,지방,전남,고흥,도화,가화1329번지선,전남,고흥,도화,가화리 가화해안,1.07,3.55,2.8,0.46,,1.51,전남453호 (2003.12.27 )
신평천,신평천,,,,,,,지방,전남,고흥,금산,신평812번지선,전남,고흥,금산,신평 해안,3.32,3.87,5.6,0.01,3.88,,전남453호 (2003.12.27 )
오천천,오천천,,,,,,,지방,전남,고흥,금산,오천688번지선,전남,고흥,금산,오천 해안,1.38,3.25,3.55,0.77,0.46,0.59,전남453호 (2003.12.27 )
두원천,두원천,,,,,,,지방,전남,고흥,두원,운대6140번지선,전남,고흥,두원,용반 해안,5.0,6.21,9.11,7.90,0.25,,전남453호 (2003.12.27 )
마륜천,마륜천,,,,,,,지방,전남,고흥,동강,마륜558번지선,전남,고흥,대서,송림 해안,8.0,9.54,12.4,1.97,,10.94,전남453호 (2003.12.27 )
안남천,안남천,,,,,,,지방,전남,고흥,대서,화천제 방수로,전남,고흥,대서,안남해안,2.81,4.05,2.72,0.23,0.36,3.88,전남453호 (2003.12.27 )
예당천,예당천,,,,,,,지방,전남,보성,득량,덕산제 방수로,전남,보성,득량,보성방조제       담수호,4.57,7.8,10.46,0.02,2.56,6.09,전남453호 (2003.12.27 )
송곡천,송곡천,,,,,,,지방,전남,보성,득량,삼정452번지선,전남,보성,득량,오봉 해안,5.7,12.8,17.3,2.04,2.29,,전남453호 (2003.12.27 )
화죽천,화죽천,,,,,,,지방,전남,보성,회천,석동제 방수로,전남,보성,회천,화죽 해안,2.16,5.74,9.8,(2.35),(1.12),,전남453호 (2003.12.27 )
회천천,회천천,,,,,,,지방,전남,보성,회천,영천제방수로,전남,보성,회천,벽교 851-1(남해)해안(남해),3.05,7.5,10.42,0.38,0.14,5.52,전남453호 (2003.12.27 )
봉강천,봉강천,,,,,,,지방,전남,보성,회천,봉강687번지선,전남,보성,회천,전일 해안,2.4,3.08,6.1,0.29,0.60,2.50,전남453호 (2003.12.27 )
수문천,수문천,,,,,,,지방,전남,장흥,안양,장수제 방수로,전남,장흥,안양,수문 해안,4.39,8.37,18.1,6.79,1.30,3.70,전남453호 (2003.12.27 )
