src_node,dst_node,island_name,release_point_id,attn_layer1_mean,attn_layer2
92,142,여수거문도,93,0.021079887,1.3861298e-13
92,147,완도보길도,93,0.0069278292,0.0005520071
93,127,고흥신흥,94,0.008322715,6.6265674e-11
93,128,고흥염포,94,0.0074472087,5.7081534e-10
93,132,완도평일도,94,0.007059836,0.00015843102
93,133,완도신지도,94,0.047689505,0.15689352
93,137,고성하일,94,0.004614707,8.8378965e-07
93,138,남해유구,94,0.004242678,3.464949e-12
93,139,여수반월,94,0.008002344,1.5441887e-14
93,140,여수안도,94,0.0067953765,3.4102723e-13
93,141,여수백야도,94,0.024315834,3.6287785e-15
93,142,여수거문도,94,0.03497609,0.09501084
93,149,통영욕지도,94,0.0045006773,3.0502637e-08
94,127,고흥신흥,95,0.00887395,4.755273e-11
94,128,고흥염포,95,0.009366626,1.2412177e-10
94,132,완도평일도,95,0.00719279,0.00025914423
94,133,완도신지도,95,0.119218744,0.45251334
94,137,고성하일,95,0.004580663,4.6801117e-07
94,138,남해유구,95,0.0045806547,1.2716916e-12
94,139,여수반월,95,0.00938735,6.0783055e-15
94,140,여수안도,95,0.010125328,2.4697522e-14
94,141,여수백야도,95,0.0665897,4.655693e-16
94,142,여수거문도,95,0.010033434,0.010308329
94,149,통영욕지도,95,0.004616058,4.8895945e-09
95,127,고흥신흥,96,0.004668041,9.555822e-08
95,128,고흥염포,96,0.005054788,9.073236e-08
95,132,완도평일도,96,0.13012305,0.48157632
95,137,고성하일,96,0.0046528215,5.8083787e-09
95,138,남해유구,96,0.008157328,1.3729391e-14
95,139,여수반월,96,0.024314282,1.5231374e-16
95,140,여수안도,96,0.021566357,7.365158e-16
95,141,여수백야도,96,0.06430608,5.740598e-16
95,142,여수거문도,96,0.12873934,0.52679175
95,144,통영망일봉,96,0.0050616493,1.2493997e-06
95,149,통영욕지도,96,0.0064332853,2.5969407e-11
96,127,고흥신흥,97,0.004516832,1.3421853e-06
96,128,고흥염포,97,0.004717396,3.034453e-06
96,137,고성하일,97,0.0049848612,8.190404e-10
96,138,남해유구,97,0.010792958,2.983677e-15
96,139,여수반월,97,0.084065646,1.4763705e-17
96,140,여수안도,97,0.009761331,3.41935e-14
96,141,여수백야도,97,0.016944228,1.3908195e-14
96,144,통영망일봉,97,0.0049839956,5.2648437e-07
96,149,통영욕지도,97,0.005987164,4.9526272e-11
97,127,고흥신흥,98,0.0045638317,7.867699e-07
97,128,고흥염포,98,0.0049364287,2.2767688e-07
97,137,고성하일,98,0.0045440234,4.5285272e-08
97,138,남해유구,98,0.005577433,2.1870912e-13
97,139,여수반월,98,0.008385583,1.527876e-14
97,140,여수안도,98,0.20584366,5.2502e-18
97,141,여수백야도,98,0.008578885,4.179157e-13
97,142,여수거문도,98,0.009621531,0.01082713
97,144,통영망일봉,98,0.005111069,1.830391e-06
97,149,통영욕지도,98,0.007472578,8.404572e-12
98,127,고흥신흥,99,0.00457162,8.82311e-07
98,128,고흥염포,99,0.0049733953,1.8876804e-07
98,132,완도평일도,99,0.12410115,0.4488922
98,137,고성하일,99,0.004557698,1.9588357e-07
98,138,남해유구,99,0.004731899,1.1302897e-12
98,139,여수반월,99,0.0066513945,8.340039e-14
98,140,여수안도,99,0.07051898,2.8301442e-17
98,141,여수백야도,99,0.0065334197,3.0160089e-12
98,142,여수거문도,99,0.007091952,0.0014368854
98,144,통영망일봉,99,0.005224597,5.4391658e-06
98,149,통영욕지도,99,0.006770247,1.8662297e-11
99,137,고성하일,100,0.0045206444,5.1635056e-06
99,138,남해유구,100,0.111459844,0.41329527
99,143,부산해양대,100,0.012216137,1.7042772e-05
99,144,통영망일봉,100,0.0049032364,2.3445889e-08
99,145,마산봉암,100,0.062228844,1.4924477e-09
99,146,거제두모,100,0.009636158,2.4051548e-08
99,148,부산가덕도,100,0.018335538,6.769464e-08
99,149,통영욕지도,100,0.0054762075,0.0010721806
100,137,고성하일,101,0.004682924,2.8770735e-05
100,143,부산해양대,101,0.014499362,3.347942e-06
100,144,통영망일봉,101,0.0048739845,3.557386e-08
100,145,마산봉암,101,0.021795657,2.4789376e-08
100,146,거제두모,101,0.012218753,5.3416263e-09
100,148,부산가덕도,101,0.03600347,9.829575e-09
100,149,통영욕지도,101,0.0056001,0.0014014204
101,137,고성하일,102,0.004914917,0.00015742655
101,143,부산해양대,102,0.017600624,8.3995616e-07
101,144,통영망일봉,102,0.004859416,5.0453522e-08
101,145,마산봉암,102,0.011423376,8.46621e-07
101,146,거제두모,102,0.015526072,1.7616427e-09
101,148,부산가덕도,102,0.12932424,1.2469665e-09
101,149,통영욕지도,102,0.005527997,0.0012553821
102,137,고성하일,103,0.0066609643,0.004737313
102,143,부산해양대,103,0.02639354,1.00904906e-07
102,144,통영망일봉,103,0.0048557296,1.4985791e-06
102,145,마산봉암,103,0.0095225405,3.9610627e-06
102,146,거제두모,103,0.009080013,4.5499274e-08
102,148,부산가덕도,103,0.08992508,2.2145958e-09
102,149,통영욕지도,103,0.014478615,0.032019068
103,137,고성하일,104,0.1655686,0.62709963
103,143,부산해양대,104,0.06511567,7.5067685e-09
103,144,통영망일봉,104,0.0052164965,7.3376235e-05
103,145,마산봉암,104,0.0069972114,0.0011461289
103,146,거제두모,104,0.006717414,2.4007024e-06
103,148,부산가덕도,104,0.0143740475,2.835606e-07
103,149,통영욕지도,104,0.16470794,0.63816404
104,143,부산해양대,105,0.25580502,9.17033e-10
104,144,통영망일봉,105,0.0069021694,0.0050588367
104,145,마산봉암,105,0.009325911,0.024559222
104,146,거제두모,105,0.0062034247,0.00016722454
104,148,부산가덕도,105,0.009348693,1.5912758e-05
105,129,해남송평,106,0.08130498,4.5615774e-16
105,130,해남묵동리,106,0.036190156,3.5886406e-15
105,131,해남예락,106,0.058022335,3.1980718e-14
105,132,완도평일도,106,0.00556291,1.7837771e-11
105,133,완도신지도,106,0.007201289,9.096271e-12
105,134,진도하조도,106,0.009204719,7.512133e-09
105,135,신안압해도,106,0.008615869,1.6190162e-08
105,136,신안임자도,106,0.080924556,0.17828651
105,147,완도보길도,106,0.006770336,1.2775837e-10
106,127,고흥신흥,107,0.0046862205,4.3909295e-06
106,128,고흥염포,107,0.004879757,9.636999e-06
106,137,고성하일,107,0.005248391,3.4371636e-10
