src_node,dst_node,island_name,release_point_id,attn_layer1_mean,attn_layer2
100,148,부산일광,101,0.02274448,0.0027662895
100,158,통영욕지도,101,0.00584376,0.027874537
101,132,사천아두도,102,0.01482218,0.074488245
101,133,통영망일봉,102,0.0037398986,0.001222384
101,134,마산봉암,102,0.013040297,0.0008156812
101,135,부산해양대,102,0.021871794,0.0007924331
101,136,울산대왕암,102,0.09771082,0.21031062
101,144,거제두모,102,0.016742889,0.00011053912
101,145,울주나사리,102,0.033099554,0.01716182
101,146,고성하일,102,0.0031863775,0.012454198
101,147,부산가덕도,102,0.124439746,8.9161236e-05
101,148,부산일광,102,0.02462232,0.002262919
101,158,통영욕지도,102,0.0055864365,0.027133843
102,132,사천아두도,103,0.072403386,0.3040374
102,133,통영망일봉,103,0.0026580107,0.0049689463
102,134,마산봉암,103,0.0107913595,0.0015947858
102,135,부산해양대,103,0.030981503,0.00036332305
102,136,울산대왕암,103,0.07923184,0.101051435
102,144,거제두모,103,0.010062605,0.00042513869
102,145,울주나사리,103,0.043976396,0.00803708
102,146,고성하일,103,0.0097513655,0.050888408
102,147,부산가덕도,103,0.09072194,0.000118784585
102,148,부산일광,103,0.036736216,0.0010453612
102,156,울산주전,103,0.10998669,0.18385173
102,158,통영욕지도,103,0.022360029,0.10384022
103,133,통영망일봉,104,0.002848518,0.024735367
103,134,마산봉암,104,0.0067018243,0.016043972
103,135,부산해양대,104,0.06739256,0.00013842894
103,136,울산대왕암,104,0.091915235,0.06892476
103,144,거제두모,104,0.006165504,0.0021799204
103,145,울주나사리,104,0.066165194,0.004966105
103,146,고성하일,104,0.09275461,0.3755987
103,147,부산가덕도,104,0.016258389,0.0008652726
103,148,부산일광,104,0.060241714,0.0006254054
103,156,울산주전,104,0.113935724,0.13272487
103,158,통영욕지도,104,0.09111203,0.3621063
104,133,통영망일봉,105,0.0107888,0.14212084
104,134,마산봉암,105,0.009774857,0.058031023
104,135,부산해양대,105,0.24780299,6.469843e-05
104,136,울산대왕암,105,0.21468395,0.033261757
104,144,거제두모,105,0.0042590303,0.0125762
104,145,울주나사리,105,0.20747401,0.0023336832
104,147,부산가덕도,105,0.009495215,0.004582319
104,148,부산일광,105,0.19729804,0.0003029112
104,156,울산주전,105,0.21825965,0.06565346
105,127,신안임자도,106,0.087257475,0.22287476
105,128,진도하조도,106,0.008834965,9.8071076e-05
105,129,해남묵동리,106,0.040116135,2.6184202e-07
105,137,신안고장,106,0.009332458,0.015674977
105,138,해남예락,106,0.053311083,6.1178633e-07
105,139,해남송평,106,0.06813141,1.6752409e-07
105,140,완도신지도,106,0.008865419,6.668192e-06
105,149,신안압해도,106,0.007883415,9.774562e-05
105,150,신안우이도,106,0.015484264,0.02776288
105,154,완도보길도,106,0.009801755,1.4145593e-05
105,155,완도평일도,106,0.0045137163,1.0520194e-05
105,157,진도가사도,106,0.011408579,5.964802e-05
106,130,고흥신흥,107,0.0027416805,0.0010295999
106,131,여수반월,107,0.09681764,1.6845947e-08
106,132,사천아두도,107,0.010515467,2.3705236e-06
106,133,통영망일봉,107,0.0027785257,0.00106355
106,141,여수백야도,107,0.014913097,6.935092e-07
106,142,고흥염포,107,0.0030254489,0.0013825236
106,143,남해유구,107,0.01546336,9.010818e-08
106,146,고성하일,107,0.0060640704,3.3881744e-05
106,153,여수안도,107,0.013312202,6.446936e-07
106,158,통영욕지도,107,0.0070398487,1.1777751e-05
107,130,고흥신흥,108,0.005240459,6.839512e-05
107,131,여수반월,108,0.007599891,6.7787624e-07
107,132,사천아두도,108,0.0035154652,5.3932294e-05
107,140,완도신지도,108,0.0873622,0.22423722
107,141,여수백야도,108,0.0110325925,1.1185197e-06
107,142,고흥염포,108,0.0042359675,0.0002349249
107,143,남해유구,108,0.0041302145,3.547126e-06
107,146,고성하일,108,0.0025903597,0.0008667306
107,153,여수안도,108,0.0055929665,6.943177e-06
107,155,완도평일도,108,0.007805495,0.027604474
108,129,해남묵동리,109,0.009183894,0.022758923
108,130,고흥신흥,109,0.011051577,4.993004e-06
108,131,여수반월,109,0.0026134376,1.4276989e-05
108,138,해남예락,109,0.008591219,0.020883992
108,139,해남송평,109,0.0025438846,0.0027712139
108,140,완도신지도,109,0.0026573513,0.0008063844
108,141,여수백야도,109,0.0045728204,1.180055e-05
108,142,고흥염포,109,0.008557814,1.6932943e-05
108,143,남해유구,109,0.0014808814,8.560003e-05
108,149,신안압해도,109,0.015043085,0.04729869
108,152,여수거문도,109,0.0036602393,0.0007850891
108,153,여수안도,109,0.002753574,4.7921676e-05
108,154,완도보길도,109,0.038090903,0.08002704
108,155,완도평일도,109,0.0023686695,0.00018962834
109,130,고흥신흥,110,0.017795134,0.03725925
109,131,여수반월,110,0.007452277,1.1851621e-06
109,132,사천아두도,110,0.017342847,8.089705e-07
109,133,통영망일봉,110,0.003152437,0.00072066684
109,141,여수백야도,110,0.0038833024,4.7950514e-05
109,142,고흥염포,110,0.034246776,0.06599052
109,143,남해유구,110,0.011719518,2.2490627e-07
109,146,고성하일,110,0.008797988,1.2423572e-05
109,153,여수안도,110,0.0021922006,0.00026251213
109,158,통영욕지도,110,0.005465013,3.068792e-05
110,131,여수반월,111,0.0031812908,2.4798628e-05
110,132,사천아두도,111,0.12121634,1.996005e-07
110,133,통영망일봉,111,0.009765594,2.5327223e-05
110,134,마산봉암,111,0.0072356993,0.0030424846
110,141,여수백야도,111,0.0018315599,0.0015487542
110,143,남해유구,111,0.006909486,1.5647363e-06
110,144,거제두모,111,0.0044115838,0.0056035225
110,146,고성하일,111,0.060382053,4.2671653e-07
110,147,부산가덕도,111,0.07102312,0.1332322
110,153,여수안도,111,0.0018104347,0.001145218
110,158,통영욕지도,111,0.013037272,3.6785962e-06
111,131,여수반월,112,0.001928956,0.00014907186
111,132,사천아두도,112,0.016838301,1.3742587e-06
